n	Float64(40 iteracji)	Float32(40 iteracji)	Float32(10 + 30 iteracji)
(1, 0.0397)
(2, 0.15407173000000002)
(3, 0.5450726260444213)
(4, 1.2889780011888006)
(5, 0.17151914210917552)
(6, 0.5978201201070994)
(7, 1.3191137924137974)
(8, 0.056271577646256565)
(9, 0.21558683923263022)
(10, 0.722914301179573)
(11, 1.3238419441684408)
(12, 0.03769529725473175)
(13, 0.14651838271355924)
(14, 0.521670621435246)
(15, 1.2702617739350768)
(16, 0.24035217277824272)
(17, 0.7881011902353041)
(18, 1.2890943027903075)
(19, 0.17108484670194324)
(20, 0.5965293124946907)
(21, 1.3185755879825978)
(22, 0.058377608259430724)
(23, 0.22328659759944824)
(24, 0.7435756763951792)
(25, 1.315588346001072)
(26, 0.07003529560277899)
(27, 0.26542635452061003)
(28, 0.8503519690601384)
(29, 1.2321124623871897)
(30, 0.37414648963928676)
(31, 1.0766291714289444)
(32, 0.8291255674004515)
(33, 1.2541546500504441)
(34, 0.29790694147232066)
(35, 0.9253821285571046)
(36, 1.1325322626697856)
(37, 0.6822410727153098)
(38, 1.3326056469620293)
(39, 0.0029091569028512065)
(40, 0.011611238029748606)
(1, 0.0397)
(2, 0.15407173)
(3, 0.5450726)
(4, 1.2889781)
(5, 0.1715188)
(6, 0.5978191)
(7, 1.3191134)
(8, 0.056273222)
(9, 0.21559286)
(10, 0.7229306)
(11, 1.3238364)
(12, 0.037716985)
(13, 0.14660022)
(14, 0.521926)
(15, 1.2704837)
(16, 0.2395482)
(17, 0.7860428)
(18, 1.2905813)
(19, 0.16552472)
(20, 0.5799036)
(21, 1.3107498)
(22, 0.088804245)
(23, 0.3315584)
(24, 0.9964407)
(25, 1.0070806)
(26, 0.9856885)
(27, 1.0280086)
(28, 0.9416294)
(29, 1.1065198)
(30, 0.7529209)
(31, 1.3110139)
(32, 0.0877831)
(33, 0.3280148)
(34, 0.9892781)
(35, 1.021099)
(36, 0.95646656)
(37, 1.0813814)
(38, 0.81736827)
(39, 1.2652004)
(40, 0.25860548)
(1, 0.0397)
(2, 0.15407173)
(3, 0.5450726)
(4, 1.2889781)
(5, 0.1715188)
(6, 0.5978191)
(7, 1.3191134)
(8, 0.056273222)
(9, 0.21559286)
(10, 0.722)
(11, 1.3241479)
(12, 0.036488414)
(13, 0.14195944)
(14, 0.50738037)
(15, 1.2572169)
(16, 0.28708452)
(17, 0.9010855)
(18, 1.1684768)
(19, 0.577893)
(20, 1.3096911)
(21, 0.09289217)
(22, 0.34568182)
(23, 1.0242395)
(24, 0.94975823)
(25, 1.0929108)
(26, 0.7882812)
(27, 1.2889631)
(28, 0.17157483)
(29, 0.59798557)
(30, 1.3191822)
(31, 0.05600393)
(32, 0.21460639)
(33, 0.7202578)
(34, 1.3247173)
(35, 0.034241438)
(36, 0.13344833)
(37, 0.48036796)
(38, 1.2292118)
(39, 0.3839622)
(40, 1.093568)
